ClienteID,CPF_CNPJ,NomeCliente,UF,DataCadastro
CLI000001,29461453200,Cliente 1,CE,2024-08-24
CLI000002,13483841912,Cliente 2,GO,2024-08-12
CLI000003,87925703714,Cliente 3,RN,2024-04-20
CLI000004,63652865169,Cliente 4,SP,2024-04-11
CLI000005,86679531712,Cliente 5,PA,2023-07-18
CLI000006,11194733386,Cliente 6,DF,2023-06-21
CLI000007,65789388761,Cliente 7,RS,2025-04-24
CLI000008,65280508439,Cliente 8,RN,2025-01-09
CLI000009,12064536280,Cliente 9,PE,2023-01-08
CLI000010,84518764410,Cliente 10,SP,2023-05-21
CLI000011,32723424723,Cliente 11,PE,2024-05-04
CLI000012,87375557175,Cliente 12,DF,2023-11-19
CLI000013,42043006463,Cliente 13,GO,2023-03-31
CLI000014,32479829998,Cliente 14,SC,2023-06-22
CLI000015,29046056142,Cliente 15,PR,2025-06-24
CLI000016,49562554749,Cliente 16,AM,2024-04-21
CLI000017,26923351872,Cliente 17,GO,2024-11-25
CLI000018,83516947539,Cliente 18,RJ,2024-01-15
CLI000019,49151853988,Cliente 19,RJ,2024-12-25
CLI000020,79332960492,Cliente 20,RN,2024-11-22
CLI000021,33596876548,Cliente 21,PA,2024-02-02
CLI000022,12749967323,Cliente 22,RJ,2024-08-31
CLI000023,40702814281,Cliente 23,MG,2024-03-06
CLI000024,74845670595,Cliente 24,RN,2025-02-28
CLI000025,75883940463,Cliente 25,BA,2024-03-18
CLI000026,85580485104,Cliente 26,SP,2023-12-30
CLI000027,51984598829,Cliente 27,PR,2023-12-04
CLI000028,48817145680,Cliente 28,RN,2023-01-27
CLI000029,33756042855,Cliente 29,PR,2024-06-26
CLI000030,59166559751,Cliente 30,GO,2024-11-14
CLI000031,34266237510,Cliente 31,AM,2024-08-21
CLI000032,48645525976,Cliente 32,PR,2025-03-27
CLI000033,11147839461,Cliente 33,RJ,2024-02-28
CLI000034,76277303956,Cliente 34,AM,2024-06-23
CLI000035,78760081113,Cliente 35,CE,2025-04-02
CLI000036,75881791319,Cliente 36,GO,2024-05-28
CLI000037,90945320967,Cliente 37,RJ,2024-02-29
CLI000038,84620254144,Cliente 38,RS,2025-02-18
CLI000039,82776774756,Cliente 39,RN,2023-07-22
CLI000040,97020296907,Cliente 40,PR,2024-08-23
CLI000041,68786006543,Cliente 41,DF,2023-07-25
CLI000042,80278160860,Cliente 42,GO,2023-10-02
CLI000043,36539128651,Cliente 43,ES,2023-06-10
CLI000044,87099604879,Cliente 44,AM,2024-06-10
CLI000045,89097681843,Cliente 45,MG,2023-03-13
CLI000046,34905946684,Cliente 46,ES,2024-09-02
CLI000047,65503989999,Cliente 47,ES,2023-12-29
CLI000048,50447367600,Cliente 48,AM,2023-03-22
CLI000049,62887342356,Cliente 49,BA,2023-06-20
CLI000050,91669775209,Cliente 50,CE,2025-04-07
CLI000051,57893143777,Cliente 51,ES,2024-05-02
CLI000052,38854478747,Cliente 52,MG,2025-02-15
CLI000053,59738186510,Cliente 53,RS,2024-08-04
CLI000054,17955274414,Cliente 54,RJ,2024-06-03
CLI000055,11200005260,Cliente 55,GO,2023-02-01
CLI000056,69949849826,Cliente 56,RJ,2024-12-16
CLI000057,39318378843,Cliente 57,PR,2025-06-26
CLI000058,43658179293,Cliente 58,BA,2023-06-21
CLI000059,23576428872,Cliente 59,RN,2024-07-23
CLI000060,85350214729,Cliente 60,ES,2023-09-11
CLI000061,83793448383,Cliente 61,SP,2024-02-02
CLI000062,60925379536,Cliente 62,PE,2023-03-27
CLI000063,20771786893,Cliente 63,ES,2024-03-13
CLI000064,80202575457,Cliente 64,DF,2024-06-02
CLI000065,94647611352,Cliente 65,RS,2024-09-17
CLI000066,78512215767,Cliente 66,MG,2024-04-27
CLI000067,58616092357,Cliente 67,PA,2025-05-31
CLI000068,86308764003,Cliente 68,GO,2023-09-29
CLI000069,73354503749,Cliente 69,RJ,2023-05-05
CLI000070,40230734259,Cliente 70,BA,2024-11-27
CLI000071,54096598770,Cliente 71,SP,2024-12-13
CLI000072,22514938937,Cliente 72,PA,2024-11-05
CLI000073,57074024587,Cliente 73,SC,2024-06-05
CLI000074,12234596253,Cliente 74,CE,2023-05-23
CLI000075,26991041049,Cliente 75,RS,2025-07-15
CLI000076,37436257188,Cliente 76,PA,2023-02-01
CLI000077,47019506066,Cliente 77,RN,2023-05-21
CLI000078,86472808481,Cliente 78,CE,2024-11-12
CLI000079,96673219510,Cliente 79,ES,2024-01-05
CLI000080,83172974910,Cliente 80,RN,2025-06-13
CLI000081,11944292245,Cliente 81,RN,2025-02-15
